BATSMAN ,BOWLER ,RUNS
SK Raina ,PP Chawla ,152
V Kohli ,A Mishra ,149
V Kohli ,UT Yadav ,141
RG Sharma ,PP Chawla ,136
SK Raina ,Harbhajan Singh ,132
KA Pollard ,A Mishra ,131
V Kohli ,DJ Bravo ,130
V Kohli ,R Ashwin ,127
DA Warner ,P Kumar ,124
RG Sharma ,M Morkel ,119
RG Sharma ,UT Yadav ,110
G Gambhir ,Z Khan ,109
DA Warner ,SP Narine ,108
CH Gayle ,B Kumar ,104
V Kohli ,RA Jadeja ,104
MS Dhoni ,DW Steyn ,103
S Dhawan ,Harbhajan Singh ,103
CH Gayle ,PP Chawla ,103
CH Gayle ,P Kumar ,103
RG Sharma ,R Bhatia ,100
KA Pollard ,DJ Bravo ,100
AC Gilchrist ,A Nehra ,100
MS Dhoni ,KA Pollard ,100
WP Saha ,PP Chawla ,99
SK Raina ,R Vinay Kumar ,98
G Gambhir ,JA Morkel ,98
MS Dhoni ,PP Ojha ,98
DA Warner ,Harbhajan Singh ,97
AM Rahane ,PP Chawla ,96
V Kohli ,PP Chawla ,95
AB de Villiers ,RA Jadeja ,94
YK Pathan ,A Mishra ,94
SR Watson ,M Kartik ,94
YK Pathan ,PP Ojha ,93
SK Raina ,SK Trivedi ,92
V Kohli ,IK Pathan ,92
JH Kallis ,Z Khan ,92
DA Warner ,MM Sharma ,90
BB McCullum ,Z Khan ,90
DA Warner ,YS Chahal ,90
JA Morkel ,SK Warne ,89
JH Kallis ,PP Ojha ,89
V Sehwag ,RP Singh ,88
AM Rahane ,M Morkel ,88
G Gambhir ,P Kumar ,88
RG Sharma ,SP Narine ,87
WP Saha ,UT Yadav ,87
S Dhawan ,DS Kulkarni ,86
AM Rahane ,MG Johnson ,86
AM Rahane ,A Mishra ,85
M Vijay ,P Kumar ,85
SK Raina ,P Kumar ,85
DA Miller ,RA Jadeja ,84
G Gambhir ,B Kumar ,84
RV Uthappa ,A Mishra ,84
SE Marsh ,Harbhajan Singh ,84
PA Patel ,MG Johnson ,84
G Gambhir ,Harbhajan Singh ,84
SK Raina ,SP Narine ,84
JH Kallis ,SL Malinga ,84
SR Tendulkar ,I Sharma ,83
GJ Maxwell ,R Ashwin ,83
SK Raina ,A Mishra ,83
RG Sharma ,JH Kallis ,82
RG Sharma ,Shakib Al Hasan ,82
DR Smith ,Iqbal Abdulla ,82
YK Pathan ,DW Steyn ,82
RG Sharma ,P Kumar ,81
SR Watson ,SL Malinga ,81
BB McCullum ,SL Malinga ,81
MS Dhoni ,B Kumar ,81
