player_name,ave_score,sr,balls_faced,hundreds/innings,fifties/innings,fours_rate,six_rate,vulnerability,features,scaledFeatures,prediction
Zaheer Khan,8.68,86.42,221,0.0,0.0,0.07692307692307693,0.013574660633484163,0.09954751131221719,"[86.42,221.0,0.0,0.0,0.07692307692307693,0.013574660633484163,0.09954751131221719]","[2.9895512246621068,0.15758327707139277,0.0,0.0,1.623626194314809,0.4975005978011348,0.6686146012204344]",3
Mayank Agarwal,23.4,130.79,1789,0.009433962264150943,0.14150943396226415,0.13191727221911684,0.045835662381218556,0.05589714924538849,"[130.79,1789.0,0.009433962264150943,0.14150943396226415,0.13191727221911684,0.045835662381218556,0.05589714924538849]","[4.5244550413510405,1.2756401931254375,1.2325805815999877,2.0333390804705527,2.7843964025476993,1.6798408483980183,0.3754353038002846]",2
Khaleel Ahmed,0.0,66.66,6,0.0,0.0,0.0,0.0,0.0,"(7,[0,1],[66.66,6.0])","(7,[0,1],[2.3059880193933817,0.004278279015512926])",3
Sam Billings,23.21,130.17,2247,0.0,0.1095890410958904,0.11036938139741878,0.03871829105473965,0.056074766355140186,"[130.17,2247.0,0.0,0.1095890410958904,0.11036938139741878,0.03871829105473965,0.056074766355140186]","[4.503007207987346,1.602215491309591,0.0,1.574677205697743,2.3295820429332195,1.4189948069904197,0.3766282757936687]",2
Carlos Brathwaite,18.04,149.82,855,0.0,0.010752688172043012,0.08771929824561403,0.10760233918128655,0.08304093567251462,"[149.82,855.0,0.0,0.010752688172043012,0.08771929824561403,0.10760233918128655,0.08304093567251462]","[5.182765152497996,0.609654759710592,0.0,0.15450461830098824,1.851503554920396,3.9435408009718023,0.5577475655369398]",0
Nathan Coulter-Nile,13.9,125.6,332,0.0,0.0,0.08132530120481928,0.0783132530120482,0.09036144578313253,"[125.6,332.0,0.0,0.0,0.08132530120481928,0.0783132530120482,0.09036144578313253]","[4.344915920129144,0.2367314388583819,0.0,0.0,1.7165445608569214,2.8701189106077516,0.6069160468361829]",0
Quinton de Kock,31.68,133.91,2957,0.022222222222222223,0.14814814814814814,0.1471085559688874,0.047683462969225564,0.042272573554277985,"[133.91,2957.0,0.022222222222222223,0.14814814814814814,0.1471085559688874,0.047683462969225564,0.042272573554277985]","[4.632386073761892,2.108478508145287,2.903412036657749,2.1287302965913932,3.105040963425852,1.7475612814881254,0.28392532909143947]",1
Jean-Paul Duminy,37.73,121.8,4926,0.0,0.1782608695652174,0.08871295168493706,0.04080389768574909,0.03227771010962241,"[121.8,4926.0,0.0,0.1782608695652174,0.08871295168493706,0.04080389768574909,0.03227771010962241]","[4.213461457577466,3.5124670717361126,0.0,2.5614178677463832,1.8724767376984224,1.4954306438573697,0.2167944531085967]",2
Akhil Herwadkar,20.14,121.03,233,0.0,0.07142857142857142,0.13733905579399142,0.02575107296137339,0.060085836909871244,"[121.03,233.0,0.0,0.07142857142857142,0.13733905579399142,0.02575107296137339,0.060085836909871244]","[4.186824632270942,0.16613983510241864,0.0,1.026352107285136,2.898834750364637,0.943756498833054,0.40356878193055484]",0
Imran Tahir,9.78,110.05,169,0.0,0.0,0.08875739644970414,0.04142011834319527,0.11242603550295859,"[110.05,169.0,0.0,0.0,0.08875739644970414,0.04142011834319527,0.11242603550295859]","[3.80699042205583,0.12050485893694743,0.0,0.0,1.87341483959401,1.5180146445726934,0.7551136929867145]",0
Shreyas Iyer,28.73,128.65,1452,0.0,0.1891891891891892,0.11707988980716254,0.05096418732782369,0.044765840220385676,"[128.65,1452.0,0.0,0.1891891891891892,0.11707988980716254,0.05096418732782369,0.044765840220385676]","[4.450425422966675,1.0353435217541282,0.0,2.718446121998469,2.4712216869392063,1.8677972397703761,0.3006714483637472]",2
Mahipal Lomror,24.23,120.46,342,0.0,0.1,0.1023391812865497,0.03216374269005848,0.049707602339181284,"[120.46,342.0,0.0,0.1,0.1023391812865497,0.03216374269005848,0.049707602339181284]","[4.1671064628881895,0.24386190388423679,0.0,1.4368929501991907,2.160087480740462,1.17877578289918,0.33386297937070336]",0
Chama Milind,11.55,111.82,93,0.0,0.0,0.07526881720430108,0.021505376344086023,0.0967741935483871,"[111.82,93.0,0.0,0.0,0.07526881720430108,0.021505376344086023,0.0967741935483871]","[3.868220526981217,0.06631332474045036,0.0,0.0,1.5887095019639528,0.7881550689179269,0.6499875082245572]",0
Amit Mishra,13.86,97.43,740,0.0,0.0,0.0918918918918919,0.00945945945945946,0.07027027027027027,"[97.43,740.0,0.0,0.0,0.0918918918918919,0.00945945945945946,0.07027027027027027]","[3.3704232332657846,0.5276544119132609,0.0,0.0,1.9395750753706635,0.34668172288214216,0.4719729113774713]",3
