player_name,bowl_ave,econ,bowl_sr,balls,features,scaledFeatures,prediction
Zaheer Khan,27.35,7.49,21.8,3044,"[7.49,21.8,3044.0]","[2.0776854002008998,2.046753857263088,2.4143700546840923]",4
Mayank Agarwal,0.0,8.0,0.0,6,"[8.0,0.0,6.0]","[2.2191566357285977,0.0,0.004758942289127646]",0
Khaleel Ahmed,19.64,7.26,16.2,276,"[7.26,16.2,276.0]","[2.013884646923702,1.52098222420468,0.21891134529987172]",3
Sam Billings,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Carlos Brathwaite,25.94,7.86,19.7,2354,"[7.86,19.7,2354.0]","[2.1803213946033475,1.8495894948661848,1.8670916914344131]",4
Nathan Coulter-Nile,22.63,7.76,17.4,1924,"[7.76,17.4,1924.0]","[2.15258193665674,1.6336475741457672,1.5260341607135985]",4
Quinton de Kock,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Jean-Paul Duminy,30.23,7.62,23.7,1736,"[7.62,23.7,1736.0]","[2.113746695531489,2.2251406613364764,1.3769206356542656]",4
Akhil Herwadkar,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Imran Tahir,20.76,7.08,17.5,4785,"[7.08,17.5,4785.0]","[1.9639536226198089,1.6430363533075247,3.795256475579298]",2
Shreyas Iyer,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Mahipal Lomror,60.75,8.62,42.2,169,"[8.62,42.2,169.0]","[2.3911412749975636,3.962064806261574,0.13404354114376202]",3
Chama Milind,15.33,7.49,12.2,589,"[7.49,12.2,589.0]","[2.0776854002008998,1.1454310577343885,0.46716950138269725]",3
Amit Mishra,21.79,7.15,18.2,4168,"[7.15,18.2,4168.0]","[1.9833712431824342,1.7087578074398255,3.305878576847338]",2
Mohammed Shami,26.6,8.28,19.2,1310,"[8.28,19.2,1310.0]","[2.2968271179790984,1.8026455990573984,1.0390357331262028]",4
Chris Morris,22.18,7.64,17.4,3168,"[7.64,17.4,3168.0]","[2.1192945871208106,1.6336475741457672,2.512721528659397]",2
Shahbaz Nadeem,29.12,6.77,25.7,2296,"[6.77,25.7,2296.0]","[1.8779613029853257,2.4129162445716217,1.8210885826395125]",4
Karun Nair,27.5,6.87,24.0,48,"[6.87,24.0,48.0]","[1.9057007609319332,2.2533069988217482,0.03807153831302117]",3
Pawan Negi,22.97,7.3,18.8,1490,"[7.3,18.8,1490.0]","[2.0249804301023455,1.7650904824103695,1.1818040018000322]",4
Rishabh Pant,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Pratyush Singh,19.5,7.8,15.0,60,"[7.8,15.0,60.0]","[2.1636777198353827,1.4083168742635925,0.04758942289127646]",3
Sanju Samson,4.0,8.0,3.0,3,"[8.0,3.0,3.0]","[2.2191566357285977,0.28166337485271853,0.002379471144563823]",0
Pawan Suyal,38.91,7.93,29.4,353,"[7.93,29.4,353.0]","[2.199739015165972,2.7603010735566413,0.2799844380103432]",3
Jayant Yadav,34.75,5.95,35.0,700,"[5.95,35.0,700.0]","[1.6504977478231446,3.2860727066150495,0.5552099337315587]",3
Joel Paris,31.82,8.43,22.6,385,"[8.43,22.6,385.0]","[2.3384363048990098,2.121864090557146,0.3053654635523573]",3
Suresh Raina,34.47,7.26,28.4,1509,"[7.26,28.4,1509.0]","[2.013884646923702,2.6664132819390685,1.196873985715603]",4
Sarabjit Ladda,32.8,8.41,23.4,234,"[8.41,23.4,234.0]","[2.3328884133096883,2.1969743238512045,0.1855987492759782]",3
Akshdeep Nath,20.08,8.16,14.7,177,"[8.16,14.7,177.0]","[2.2635397684431697,1.3801505367783207,0.14038879752926556]",3
Amit Mishra,19.14,7.58,15.1,515,"[7.58,15.1,515.0]","[2.1026509123528463,1.4177056534253498,0.4084758798167896]",3
Dwayne Bravo,24.53,8.29,17.7,7930,"[8.29,17.7,7930.0]","[2.299601063773759,1.661813911631039,6.289735392130372]",2
Paras Dogra,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Eklavya Dwivedi,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
James Faulkner,23.6,7.92,17.8,3501,"[7.92,17.8,3501.0]","[2.196965069371312,1.6712026907927966,2.7768428257059816]",2
Aaron Finch,48.57,9.23,31.5,221,"[9.23,31.5,221.0]","[2.5603519684718696,2.9574654359535444,0.17528770764953497]",3
Ishan Kishan,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Ravindra Jadeja,31.42,7.78,24.2,3272,"[7.78,24.2,3272.0]","[2.1581298282460613,2.272084557145263,2.595209861670943]",2
Shadab Jakati,31.23,7.68,24.3,1781,"[7.68,24.3,1781.0]","[2.1303903702994536,2.28147333630702,1.4126127028227229]",4
Dinesh Karthik,10.0,5.0,12.0,12,"[5.0,12.0,12.0]","[1.3869728973303737,1.1266534994108741,0.009517884578255292]",3
Shivil Kaushik,49.5,8.73,34.0,204,"[8.73,34.0,204.0]","[2.4216546787388324,3.1921849149974766,0.16180403783033998]",3
Dhawal Kulkarni,25.0,7.83,19.1,2354,"[7.83,19.1,2354.0]","[2.171999557219365,1.7932568198956413,1.8670916914344131]",4
Praveen Kumar,32.16,7.46,25.8,3695,"[7.46,25.8,3695.0]","[2.069363562816917,2.4223050237333794,2.9307152930544422]",2
Brendon McCullum,0.0,13.0,0.0,6,"[13.0,0.0,6.0]","[3.6061295330589713,0.0,0.004758942289127646]",0
Pradeep Sangwan,27.72,7.64,21.7,1828,"[7.64,21.7,1828.0]","[2.1192945871208106,2.0373650781013306,1.449891084087556]",4
Jaydev Shah,15.14,8.48,10.7,75,"[8.48,10.7,75.0]","[2.352306033872314,1.0045993703080294,0.05948677861409558]",0
Umang Sharma,0.0,9.0,0.0,24,"[9.0,0.0,24.0]","[2.4965512151946725,0.0,0.019035769156510583]",0
Dwayne Smith,28.18,8.12,20.8,2184,"[8.12,20.8,2184.0]","[2.2524439852645264,1.952866065645515,1.7322549932424631]",4
Dale Steyn,21.91,6.67,19.6,4175,"[6.67,19.6,4175.0]","[1.8502218450387182,1.8402007157044278,3.3114306761846537]",2
Pravin Tambe,22.82,7.04,19.4,1302,"[7.04,19.4,1302.0]","[1.952857839441166,1.821423157380913,1.0326904767406992]",4
Andrew Tye,19.81,7.78,15.2,2366,"[7.78,15.2,2366.0]","[2.1581298282460613,1.427094432587107,1.8766095760126684]",4
Murali Vijay,0.0,7.0,0.0,60,"[7.0,0.0,60.0]","[1.9417620562625229,0.0,0.04758942289127646]",0
Kyle Abbott,29.57,8.19,21.6,2468,"[8.19,21.6,2468.0]","[2.271861605827152,2.0279762989395733,1.9575115949278383]",4
Hashim Amla,0.0,15.0,0.0,2,"[15.0,0.0,2.0]","[4.160918691991121,0.0,0.001586314096375882]",0
Anureet Singh,30.15,8.26,21.9,1117,"[8.26,21.9,1117.0]","[2.291279226389777,2.056142636424845,0.8859564228259301]",3
Armaan Jaffer,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Farhaan Behardien,35.2,9.18,23.0,115,"[9.18,23.0,115.0]","[2.5464822394985656,2.1594192072041754,0.09121306054161321]",3
KC Cariappa,33.53,8.24,24.4,366,"[8.24,24.4,366.0]","[2.2857313348004555,2.290862115468777,0.2902954796367864]",3
Rishi Dhawan,32.94,7.48,26.4,1426,"[7.48,26.4,1426.0]","[2.074911454406239,2.4786376987039227,1.1310419507160039]",4
Gurkeerat Singh Mann,29.33,7.33,24.0,144,"[7.33,24.0,144.0]","[2.0333022674863277,2.2533069988217482,0.1142146149390635]",3
Mitchell Johnson,25.78,7.63,20.2,2494,"[7.63,20.2,2494.0]","[2.11652064132615,1.8965333906749713,1.9781336781807248]",4
David Miller,0.0,10.33,0.0,18,"[10.33,0.0,18.0]","[2.8654860058845517,0.0,0.014276826867382937]",0
Nikhil Naik,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Axar Patel,27.56,7.13,23.1,2134,"[7.13,23.1,2134.0]","[1.9778233515931127,2.1688079863659326,1.692597140833066]",4
Wriddhiman Saha,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Pardeep Sahu,41.25,7.67,32.2,129,"[7.67,32.2,129.0]","[2.127616424504793,3.023186890085846,0.10231725921624439]",3
Sandeep Sharma,23.57,7.55,18.7,2042,"[7.55,18.7,2042.0]","[2.094329074968864,1.755701703248612,1.6196266923997755]",4
Mohit Sharma,28.0,8.35,20.1,2192,"[8.35,20.1,2192.0]","[2.3162447385417235,1.8871446115132142,1.7386002496279667]",4
Swapnil Singh,23.6,7.37,19.2,672,"[7.37,19.2,672.0]","[2.0443980506649706,1.8026455990573984,0.5330015363822963]",3
Shardul Thakur,26.31,8.45,18.6,1120,"[8.45,18.6,1120.0]","[2.3439841964883312,1.746312924086855,0.888335893970494]",3
Manan Vohra,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Shaun Marsh,0.0,6.5,0.0,12,"[6.5,0.0,12.0]","[1.8030647665294857,0.0,0.009517884578255292]",0
Glenn Maxwell,31.31,7.89,23.7,1761,"[7.89,23.7,1761.0]","[2.1886432319873292,2.2251406613364764,1.396749561858964]",4
Marcus Stoinis,29.55,8.66,20.4,880,"[8.66,20.4,880.0]","[2.402237058176207,1.9153109489984859,0.6979782024053881]",3
Gautam Gambhir,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Piyush Chawla,24.67,7.52,19.6,4290,"[7.52,19.6,4290.0]","[2.0860072375848815,1.8402007157044278,3.402643736726267]",2
Brad Hogg,24.75,6.91,21.4,3005,"[6.91,21.4,3005.0]","[1.9167965441105763,2.0091987406160587,2.3834369298047626]",4
Jason Holder,34.93,7.76,27.0,1647,"[7.76,27.0,1647.0]","[2.15258193665674,2.5349703736744664,1.3063296583655388]",4
Sheldon Jackson,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Kuldeep Yadav,20.22,7.47,16.2,1575,"[7.47,16.2,1575.0]","[2.072137508611578,1.52098222420468,1.2492223508960072]",4
Chris Lynn,31.0,7.15,26.0,78,"[7.15,26.0,78.0]","[1.9833712431824342,2.441082582056894,0.0618662497586594]",3
Manan Sharma,15.46,6.07,15.2,489,"[6.07,15.2,489.0]","[1.6837850973590736,1.427094432587107,0.3878537965639032]",3
Morne Morkel,25.68,7.55,20.3,3874,"[7.55,20.3,3874.0]","[2.094329074968864,1.9059221698367286,3.0726904046800834]",2
Colin Munro,34.2,9.45,21.7,434,"[9.45,21.7,434.0]","[2.6213787759544056,2.0373650781013306,0.3442301589135664]",3
Sunil Narine,19.83,5.95,20.0,6840,"[5.95,20.0,6840.0]","[1.6504977478231446,1.8777558323514567,5.425194209605516]",2
Manish Pandey,21.2,7.57,16.8,168,"[7.57,16.8,168.0]","[2.0998769665581856,1.5773148991752237,0.13325038409557408]",3
Yusuf Pathan,28.78,7.68,22.4,2157,"[7.68,22.4,2157.0]","[2.1303903702994536,2.1030865322336316,1.7108397529413888]",4
Ankit Rajpoot,19.86,7.51,15.8,1078,"[7.51,15.8,1078.0]","[2.083233291790221,1.4834271075576508,0.8550232979466004]",3
Andre Russell,25.44,8.19,18.6,4548,"[8.19,18.6,4548.0]","[2.271861605827152,1.746312924086855,3.607278255158756]",2
Rajagopal Sathish,26.37,7.02,22.5,541,"[7.02,22.5,541.0]","[1.9473099478518443,2.112475311395389,0.42909796306967607]",3
Shakib Al Hasan,21.08,6.82,18.5,5799,"[6.82,18.5,5799.0]","[1.8918310319586296,1.7369241449250976,4.5995177224418695]",2
Shaun Tait,22.43,7.98,16.8,3674,"[7.98,16.8,3674.0]","[2.213608744139276,1.5773148991752237,2.9140589950424953]",2
Jaydev Unadkat,22.79,7.86,17.3,2331,"[7.86,17.3,2331.0]","[2.1803213946033475,1.6242587949840102,1.8488490793260905]",4
Robin Uthappa,0.0,11.0,0.0,6,"[11.0,0.0,6.0]","[3.0513403741268217,0.0,0.004758942289127646]",0
Suryakumar Yadav,23.33,6.36,22.0,132,"[6.36,22.0,132.0]","[1.7642295254042353,2.0655314155866025,0.10469673036080822]",3
Umesh Yadav,26.93,8.19,19.7,2683,"[8.19,19.7,2683.0]","[2.271861605827152,1.8495894948661848,2.128040360288246]",4
John Hastings,24.7,7.95,18.6,2163,"[7.95,18.6,2163.0]","[2.205286906755294,1.746312924086855,1.7155986952305164]",4
Rohit Sharma,28.17,7.8,21.6,628,"[7.8,21.6,628.0]","[2.1636777198353827,2.0279762989395733,0.49810262626202695]",3
Corey Anderson,36.96,9.06,24.4,783,"[9.06,24.4,783.0]","[2.513194889962637,2.290862115468777,0.6210419687311578]",3
Jasprit Bumrah,22.79,7.2,18.9,2792,"[7.2,18.9,2792.0]","[1.997240972155738,1.7744792615721265,2.2144944785407312]",4
Jos Buttler,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Unmukt Chand,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Marchant de Lange,25.11,8.53,17.6,1519,"[8.53,17.6,1519.0]","[2.366175762845617,1.652425132469282,1.2048055561974824]",4
Shreyas Gopal,21.38,7.7,16.6,433,"[7.7,16.6,433.0]","[2.1359382618887754,1.5585373408517091,0.34343700186537846]",3
Martin Guptill,0.0,9.5,0.0,12,"[9.5,0.0,12.0]","[2.6352485049277097,0.0,0.009517884578255292]",0
Harbhajan Singh,26.22,6.72,23.3,5123,"[6.72,23.3,5123.0]","[1.864091574012022,2.187585544689447,4.063343557866822]",2
Kishore Kamath,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Siddhesh Lad,27.0,7.56,21.4,150,"[7.56,21.4,150.0]","[2.097103020763525,2.0091987406160587,0.11897355722819115]",3
Mitchell McClenaghan,25.1,8.42,17.8,3557,"[8.42,17.8,3557.0]","[2.335662359104349,1.6712026907927966,2.821259620404506]",2
Hardik Pandya,26.55,7.93,20.0,1747,"[7.93,20.0,1747.0]","[2.199739015165972,1.8777558323514567,1.3856453631843328]",4
Krunal Pandya,24.43,6.96,21.0,1074,"[6.96,21.0,1074.0]","[1.93066627308388,1.9716436239690296,0.8518506697538486]",3
Parthiv Patel,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Kieron Pollard,23.96,8.17,17.5,4486,"[8.17,17.5,4486.0]","[2.2663137142378305,1.6430363533075247,3.5581025181711032]",2
Deepak Punia,23.6,8.23,17.2,258,"[8.23,17.2,258.0]","[2.282957389005795,1.6148700158222526,0.20463451843248878]",3
Nitish Rana,25.5,8.1,18.8,151,"[8.1,18.8,151.0]","[2.246896093675205,1.7650904824103695,0.1197667142763791]",3
Ambati Rayudu,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Jitesh Sharma,0.0,5.0,0.0,6,"[5.0,0.0,6.0]","[1.3869728973303737,0.0,0.004758942289127646]",1
Nathu Singh,14.47,5.8,14.9,344,"[5.8,14.9,344.0]","[1.6088885609032333,1.3989280951018352,0.2728460245766517]",3
Tim Southee,26.85,8.31,19.3,3431,"[8.31,19.3,3431.0]","[2.305148955363081,1.812034378219156,2.7213218323328254]",2
Jagadeesha Suchith,26.25,7.54,20.8,564,"[7.54,20.8,564.0]","[2.0915551291742034,1.952866065645515,0.44734057517799874]",3
Jerome Taylor,23.42,8.23,17.0,2152,"[8.23,17.0,2152.0]","[2.282957389005795,1.5960924574987383,1.706873967700449]",4
Vinay Kumar,26.31,7.99,19.7,3358,"[7.99,19.7,3358.0]","[2.216382689933937,1.8495894948661848,2.663421367815106]",2
Akshay Wakhare,24.64,6.9,21.4,600,"[6.9,21.4,600.0]","[1.9140225983159156,2.0091987406160587,0.4758942289127646]",3
Lasith Malinga,18.96,6.92,16.4,5801,"[6.92,16.4,5801.0]","[1.919570489905237,1.5397597825281943,4.601104036538246]",2
Lendl Simmons,24.86,8.72,17.0,376,"[8.72,17.0,376.0]","[2.4188807329441717,1.5960924574987383,0.2982270501186658]",3
MS Dhoni,0.0,12.5,0.0,12,"[12.5,0.0,12.0]","[3.4674322433259337,0.0,0.009517884578255292]",0
Ankit Sharma,29.16,7.24,24.1,1015,"[7.24,24.1,1015.0]","[2.008336755334381,2.2626957779835055,0.8050544039107601]",3
Baba Aparajith,22.42,6.19,21.7,152,"[6.19,21.7,152.0]","[1.7170724468950025,2.0373650781013306,0.12055987132456704]",3
Murugan Ashwin,23.51,7.42,19.0,665,"[7.42,19.0,665.0]","[2.0582677796382742,1.7838680407338838,0.5274494370449808]",3
Ravichandran Ashwin,24.34,6.84,21.3,4478,"[6.84,21.3,4478.0]","[1.897378923547951,1.9998099614543015,3.5517572617855997]",2
George Bailey,0.0,12.0,0.0,12,"[12.0,0.0,12.0]","[3.3287349535928965,0.0,0.009517884578255292]",0
Ankush Bains,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Rajat Bhatia,27.45,7.18,22.9,2406,"[7.18,22.9,2406.0]","[1.9916930805664164,2.150030428042418,1.9083358579401861]",4
Scott Boland,25.22,8.39,18.0,649,"[8.39,18.0,649.0]","[2.327340521720367,1.6899802491163112,0.5147589242739737]",3
Deepak Chahar,24.22,7.51,19.3,774,"[7.51,19.3,774.0]","[2.083233291790221,1.812034378219156,0.6139035552974663]",3
Ashok Dinda,26.06,7.66,20.4,2695,"[7.66,20.4,2695.0]","[2.124842478710132,1.9153109489984859,2.137558244866501]",4
Peter Handscomb,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Jaskaran Singh,34.83,8.03,26.0,312,"[8.03,26.0,312.0]","[2.22747847311258,2.441082582056894,0.2474649990346376]",3
Usman Khawaja,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Albie Morkel,25.49,7.61,20.0,4924,"[7.61,20.0,4924.0]","[2.1109727497368285,1.8777558323514567,3.9055053052774213]",2
Ishwar Pandey,25.86,7.07,21.9,1118,"[7.07,21.9,1118.0]","[1.9611796768251484,2.056142636424845,0.8867495798741181]",3
Irfan Pathan,25.9,7.55,20.5,3475,"[7.55,20.5,3475.0]","[2.094329074968864,1.9246997281602432,2.756220742453095]",2
Thisara Perera,25.88,8.51,18.2,3941,"[8.51,18.2,3941.0]","[2.3606278712562956,1.7087578074398255,3.1258319269086754]",2
Ajinkya Rahane,5.0,5.0,6.0,6,"[5.0,6.0,6.0]","[1.3869728973303737,0.5633267497054371,0.004758942289127646]",1
Ishant Sharma,36.23,7.85,27.6,2437,"[7.85,27.6,2437.0]","[2.1775474488086863,2.5913030486450106,1.9329237264340122]",4
RP Singh,24.91,7.51,19.8,2903,"[7.51,19.8,2903.0]","[2.083233291790221,1.8589782740279424,2.3025349108895927]",4
Saurabh Tiwary,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Adam Zampa,21.84,7.29,17.9,1959,"[7.29,17.9,1959.0]","[2.022206484307685,1.6805914699545537,1.5537946574001764]",4
Faf du Plessis,18.34,6.96,15.8,790,"[6.96,15.8,790.0]","[1.93066627308388,1.4834271075576508,0.6265940680684734]",3
Mitchell Marsh,26.59,8.34,19.1,803,"[8.34,19.1,803.0]","[2.3134707927470632,1.7932568198956413,0.6369051096949166]",3
Kevin Pietersen,31.41,8.09,23.2,396,"[8.09,23.2,396.0]","[2.244122147880544,2.17819676552769,0.31409019108242464]",3
Steven Smith,19.48,7.71,15.1,818,"[7.71,15.1,818.0]","[2.138712207683436,1.4177056534253498,0.6488024654177358]",3
Virat Kohli,82.62,8.73,56.7,454,"[8.73,56.7,454.0]","[2.4216546787388324,5.32343778471638,0.3600932998773252]",3
Varun Aaron,29.95,8.4,21.3,1368,"[8.4,21.3,1368.0]","[2.3301144675150276,1.9998099614543015,1.0850388419211032]",4
Abu Nechim,25.84,7.65,20.2,1195,"[7.65,20.2,1195.0]","[2.122068532915472,1.8965333906749713,0.9478226725845895]",3
Sreenath Aravind,21.77,7.85,16.6,1714,"[7.85,16.6,1714.0]","[2.1775474488086863,1.5585373408517091,1.3594711805941309]",4
Stuart Binny,25.72,7.64,20.1,1231,"[7.64,20.1,1231.0]","[2.1192945871208106,1.8871446115132142,0.9763763263193553]",4
Yuzvendra Chahal,22.83,7.45,18.3,2755,"[7.45,18.3,2755.0]","[2.0665896170222564,1.718146586601583,2.1851476677577777]",4
AB de Villiers,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Praveen Dubey,12.3,6.64,11.1,111,"[6.64,11.1,111.0]","[1.841900007654736,1.0421544869550585,0.08804043234886146]",3
Chris Gayle,30.21,7.54,24.0,1897,"[7.54,24.0,1897.0]","[2.0915551291742034,2.2533069988217482,1.504618920412524]",4
Travis Head,26.35,8.75,18.0,307,"[8.75,18.0,307.0]","[2.427202570328154,1.6899802491163112,0.24349921379369788]",3
Iqbal Abdulla,25.75,6.98,22.1,1749,"[6.98,22.1,1749.0]","[1.9362141646732016,2.0749201947483598,1.3872316772807087]",4
Kedar Jadhav,22.0,8.8,15.0,60,"[8.8,15.0,60.0]","[2.4410722993014575,1.4083168742635925,0.04758942289127646]",3
Chris Jordan,26.72,8.4,19.0,2615,"[8.4,19.0,2615.0]","[2.3301144675150276,1.7838680407338838,2.0741056810114658]",4
Akshay Karnewar,29.46,7.84,22.5,293,"[7.84,22.5,293.0]","[2.1747735030140256,2.112475311395389,0.2323950151190667]",3
Sarfaraz Khan,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Vikramjeet Malik,23.0,7.34,18.7,827,"[7.34,18.7,827.0]","[2.0360762132809884,1.755701703248612,0.6559408788514273]",3
Mandeep Singh,15.71,6.19,15.2,213,"[6.19,15.2,213.0]","[1.7170724468950025,1.427094432587107,0.16894245126403143]",3
Parvez Rasool,31.02,6.81,27.3,984,"[6.81,27.3,984.0]","[1.8890570861639686,2.5631367111597387,0.780466535416934]",3
Harshal Patel,27.7,7.9,21.0,1556,"[7.9,21.0,1556.0]","[2.1914171777819904,1.9716436239690296,1.2341523669804362]",4
Lokesh Rahul,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Kane Richardson,26.34,8.18,19.3,1604,"[8.18,19.3,1604.0]","[2.269087660032491,1.812034378219156,1.2722239052934574]",4
Sachin Baby,44.33,8.48,31.3,94,"[8.48,31.3,94.0]","[2.352306033872314,2.93868787763003,0.07455676252966645]",3
Tabraiz Shamsi,24.42,7.31,20.0,1982,"[7.31,20.0,1982.0]","[2.027754375897006,1.8777558323514567,1.572037269508499]",4
Vikas Tokas,24.06,8.16,17.6,283,"[8.16,17.6,283.0]","[2.2635397684431697,1.652425132469282,0.22446344463718731]",3
Shane Watson,27.1,7.9,20.5,4423,"[7.9,20.5,4423.0]","[2.1914171777819904,1.9246997281602432,3.508133624135263]",2
David Wiese,24.96,8.35,17.9,2455,"[8.35,17.9,2455.0]","[2.3162447385417235,1.6805914699545537,1.9472005533013952]",4
Samuel Badree,22.16,6.02,22.0,4125,"[6.02,22.0,4125.0]","[1.6699153683857697,2.0655314155866025,3.271772823775257]",2
Adam Milne,23.16,7.68,18.0,1736,"[7.68,18.0,1736.0]","[2.1303903702994536,1.6899802491163112,1.3769206356542656]",4
Mitchell Starc,17.44,7.14,14.6,1860,"[7.14,14.6,1860.0]","[1.9805972973877732,1.3707617576165634,1.4752721096295702]",4
David Warner,0.0,13.0,0.0,6,"[13.0,0.0,6.0]","[3.6061295330589713,0.0,0.004758942289127646]",0
Ashish Reddy,22.24,7.97,16.7,904,"[7.97,16.7,904.0]","[2.2108347983446155,1.5679261200134664,0.7170139715618987]",3
Ricky Bhui,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
Bipul Sharma,23.24,6.45,21.6,1404,"[6.45,21.6,1404.0]","[1.7891950375561818,2.0279762989395733,1.1135924956558692]",4
Trent Boult,27.05,8.39,19.3,1895,"[8.39,19.3,1895.0]","[2.327340521720367,1.812034378219156,1.503032606316148]",4
Ben Cutting,32.36,8.94,21.7,1975,"[8.94,21.7,1975.0]","[2.4799075404267077,2.0373650781013306,1.5664851701711835]",4
Shikhar Dhawan,16.5,8.25,12.0,48,"[8.25,12.0,48.0]","[2.2885052805951163,1.1266534994108741,0.03807153831302117]",3
Moises Henriques,30.26,8.31,21.8,2336,"[8.31,21.8,2336.0]","[2.305148955363081,2.046753857263088,1.8528148645670302]",4
Deepak Hooda,49.6,7.85,37.9,379,"[7.85,37.9,379.0]","[2.1775474488086863,3.5583473023060104,0.3006065212632296]",3
Siddarth Kaul,23.68,7.26,19.5,1839,"[7.26,19.5,1839.0]","[2.013884646923702,1.8308119365426703,1.4586158116176235]",4
Bhuvneshwar Kumar,23.48,7.09,19.8,3098,"[7.09,19.8,3098.0]","[1.9667275684144696,1.8589782740279424,2.4572005352862414]",4
Abhimanyu Mithun,29.22,8.52,20.5,988,"[8.52,20.5,988.0]","[2.3634018170509563,1.9246997281602432,0.7836391636096857]",3
Eoin Morgan,0.0,0.0,0.0,0,"(3,[],[])","(3,[],[])",1
