key,0s,1s,2s,3s,4s,6s,outs,balls
"PP Ojha, R Bhatia",2,0,0,0,0,0,1,2
"M Kaif, R McLaren",1,1,1,0,0,0,0,3
"Y Venugopal Rao, Iqbal Abdulla",2,5,0,0,0,0,0,7
"STR Binny, CH Morris",4,4,1,0,3,0,0,12
"Gurkeerat Singh, A Nehra",3,2,1,0,2,0,0,8
"SA Asnodkar, A Symonds",6,3,2,0,2,1,0,14
"Harbhajan Singh, AB Agarkar",1,2,0,0,2,1,0,6
"JC Buttler, YS Chahal",2,2,0,0,0,1,0,5
"LJ Wright, S Nadeem",3,3,0,0,1,0,0,7
"LA Carseldine, IK Pathan",0,4,1,0,2,0,0,7
"CJ Anderson, A Nehra",7,0,0,0,1,0,1,8
"LA Carseldine, JH Kallis",1,0,0,0,1,0,0,2
"SK Raina, JP Faulkner",2,3,0,0,1,0,1,6
"GJ Bailey, AD Russell",4,5,1,0,2,0,0,12
"DR Smith, JA Morkel",16,3,6,0,9,2,1,36
"AT Rayudu, R Bhatia",4,10,1,0,2,0,1,17
"SA Yadav, SR Watson",3,5,0,0,1,1,0,10
"MP Stoinis, Iqbal Abdulla",1,1,0,0,0,0,0,2
"SR Watson, R Sharma",4,2,1,0,2,1,0,10
"JH Kallis, BAW Mendis",4,3,1,0,1,0,0,9
"JP Duminy, KH Pandya",0,8,0,0,0,0,0,8
"Q de Kock, JP Faulkner",3,3,0,0,0,0,0,6
"Niraj Patel, SS Sarkar",0,3,0,0,0,0,0,3
"Azhar Mahmood, SK Trivedi",5,6,1,0,2,1,0,15
"AP Tare, JA Morkel",12,1,1,0,2,0,2,16
"SE Marsh, VS Malik",4,0,0,0,2,0,1,6
"B Akhil, UT Yadav",1,1,2,0,0,1,0,5
"MK Pandey, NM Coulter-Nile",5,3,0,0,2,0,0,10
"YV Takawale, SR Watson",1,3,0,0,5,1,0,10
"DPMD Jayawardene, DR Smith",1,4,0,0,0,1,0,6
"SPD Smith, DP Nannes",0,1,1,0,1,1,0,4
"M Vijay, RA Jadeja",6,11,1,0,1,0,2,19
"S Badree, VR Aaron",1,1,0,0,0,0,0,2
"RG Sharma, JP Faulkner",8,3,0,0,3,3,2,17
"AC Gilchrist, BW Hilfenhaus",7,2,0,0,1,0,0,10
"AD Mathews, I Sharma",1,2,0,0,0,0,0,3
"SP Fleming, DP Vijaykumar",9,1,2,0,3,0,1,15
"MS Gony, PP Chawla",4,1,0,0,0,1,1,6
"J Botha, Shakib Al Hasan",1,1,0,0,0,0,0,2
"GC Smith, Y Venugopal Rao",0,2,1,0,0,0,0,3
"KA Pollard, Imran Tahir",7,8,0,0,1,3,1,19
"R Bhatia, JP Duminy",3,1,0,0,0,0,0,4
"CA Pujara, JR Hopes",1,3,0,0,0,0,0,4
"Q de Kock, UT Yadav",7,0,0,0,1,1,1,9
"KK Nair, DJ Hooda",0,8,0,0,1,0,0,9
"JDP Oram, RR Powar",2,1,0,0,0,0,0,3
"MJ Clarke, J Botha",1,1,0,0,0,0,0,2
"SV Samson, K Santokie",2,0,0,0,0,0,1,2
"SM Katich, S Tyagi",0,1,0,0,0,0,0,1
